MA4 TRAINWISE INTERCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[  Zone: WR,  DateFrom: 03-01-2026,  DateTo: 03-01-2026,  Gauge: BG,;  TakenOver: 197=233+0;  HandedOver: 185=217+0;  HandedOverCc8Cont: 147;  HandedOverCc6Cont: 11;  TakenOverCc8Cont: 137;  TakenOverCc6Cont: 7 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,ZONE FROM,ZONE TO,IC STTN,TAKEN OVER SR.NO.,TAKEN OVER DRTN,TAKEN OVER STTN FROM,TAKEN OVER DVSN FROM,TAKEN OVER ZONE FROM,TAKEN OVER STTN TO,TAKEN OVER DVSN TO,TAKEN OVER ZONE TO,TAKEN OVER OWNR,TAKEN OVER LOAD NAME,TAKEN OVER L/E,TAKEN OVER CMDT,TAKEN OVER CNSR,TAKEN OVER CNSG,TAKEN OVER TYPE,TAKEN OVER MULTIDSTN DVSN(DSTN),TAKEN OVER MULTIDSTN UNITS,TAKEN OVER DS,TAKEN OVER 8W(L),TAKEN OVER 8W(E),TAKEN OVER 8W(BV),TAKEN OVER TOTL(8W),TAKEN OVER OWNG,TAKEN OVER LOCO,TAKEN OVER LOCO TYPE,TAKEN OVER LOCO UNTS,TAKEN OVER LOCO HRP,TAKEN OVER TIME,TAKEN OVER CC+6,TAKEN OVER CC+8,TAKEN OVER RAKEID,TAKEN OVER TWIN PIPE,TAKEN OVER CTGR,TAKEN OVER EXAM TYPE,TAKEN OVER TONNAGE(in Tonnes),TAKEN OVER LDNG DATE,TAKEN OVER SCHEME CODE,HANDED  OVER INTERCHANGE POINT STATION,HANDED  OVER INTERCHANGE POINT DIVISION,HANDED  OVER INTERCHANGE POINT ZONE,HANDED OVER SR.NO.,TAKEN OVER INTERCHANGE  POINT STATION,TAKEN OVER INTERCHANGE  POINT DIVISION,TAKEN OVER INTERCHANGE  POINT ZONE,HANDED OVER DRTN,HANDED OVER STTN FROM,HANDED OVER DVSN FROM,HANDED OVER ZONE FROM,HANDED OVER STTN TO,HANDED OVER DVSN TO,HANDED OVER ZONE TO,HANDED OVER OWNR,HANDED OVER LOAD NAME,HANDED OVER L/E,HANDED OVER CMDT,HANDED OVER CNSR,HANDED OVER CNSG,HANDED OVER TYPE,HANDED OVER MULTIDSTN DVSN(DSTN),HANDED OVER MULTIDSTN UNITS,HANDED OVER DS,HANDED OVER 8W(L),HANDED OVER 8W(E),HANDED OVER 8W(BV),HANDED OVER TOTL(8W),HANDED OVER OWNG,HANDED OVER LOCO,HANDED OVER LOCO TYPE,HANDED OVER LOCO UNTS,HANDED OVER LOCO HRP,HANDED OVER TIME,HANDED OVER CC+6,HANDED OVER CC+8,HANDED OVER RAKEID,HANDED OVER TWIN PIPE,HANDED OVER CTGR,HANDED OVER EXAM TYPE,HANDED OVER TONNAGE(in Tonnes),HANDED OVER LDNG DATE,HANDED OVER SCHEME CODE
03-01-2026,WR,CR,BSR,1,KYN,JSWT,UBL,SW,STD,BKN,NW,IR,STD+MSTB/23.30,L,IS,JVML,JVML,BRN,"BKN(STD), JP(MSTB)",33+10,N,43,0,1,43.0+1.0,SE,41265,WAG9HC,MU,N,00:17,,Y,BSPC101225113011,N,,Intensive,2506.76,,,GTX,WDFC,DFCR,1,,,,KYN,AFAS,BCT,WR,JNPT,BB,CR,IR,ADANI-007--,L,CONT,ADIL,ADIL,BLC,,,N,45,0,0,45.0+0.0,EC,38423,WAG9HC,MU,S,05:49,,Y,SMYD030725205730,N,C,Valid CC,788.1,,
03-01-2026,WR,CR,BSR,,,,,SW,,,NW,,,,,,,,,,,,,,,SE,43132,WAG9HC,MU,N,,,,,N,,,,,,,,,,,,,,,,WR,,,CR,,,,,,,,,,,,,,,EC,38512,WAG9HC,MU,S,,,,,N,,,,,
03-01-2026,WR,CR,BSR,2,KYN,JNPT,BB,CR,AFAS,BCT,WR,BXTS,ADANI--124-AD03,E,CONT,ADIL,ADIL,BLC,,,N,39,1,1,40.0+1.0,NC,44063,WAG9HC,SU,S,04:03,,Y,JTJ 181125200309,Y,C,Valid CC,1194.56,20:30 01-01-26,,,,,2,SAH,WDFC,DFCR,KYN,BHT,BKN,NW,AVC,MYS,SW,BXTS,BHT-AVC,L,R,FCI,FCI,BCN,,,N,42,0,1,42.0+1.0,NR,32233,WAG9HC,SU,D,06:47,Y,,MV  231025213904,N,P,Valid Premium,2685.4,20:30 01-01-26,
03-01-2026,WR,CR,BSR,3,KYN,JNPT,BB,CR,MATP,DLI,NR,IIPL,TWIIL-01--JKTI01,L,CONT,JKTI,JKTI,BLC,,,N,40,5,1,45.0+1.0,NC,41158,WAG9HC,SU,S,04:21,,Y,SMYD161125204133,Y,C,Valid CC,933.31,09:10 02-01-26,,SAH,WDFC,DFCR,3,SAH,WDFC,DFCR,KYN,ICDG,PRYJ,NC,JNPT,BB,CR,IIPL,J-45H--JNPT,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,WC,42626,WAG9HC,SU,S,07:20,,Y,ICDG270325134752,Y,C,Valid CC,1337.28,09:10 02-01-26,
03-01-2026,WR,CR,BSR,4,KYN,JNPT,BB,CR,MKPP,PRYJ,NC,GIPL,RK-134-PMLP01,L,CONT,PMLP,PMLP,BLSS,,,N,28,20,0,48.0+0.0,WC,33490,WAG9HC,SU,N,05:12,,Y,MKPP270923051627,Y,C,Valid CC,1171.43,23:30 01-01-26,,SJN,WDFC,DFCR,4,SAH,WDFC,DFCR,KYN,ROZA,MB,NR,WH,PGT,SR,GIPL,WH,L,W,KAFO,KAFO,BCN,,,N,42,0,1,42.0+1.0,EC,31313,WAG9,SU,S,09:44,,Y,ED  251025011647,N,P,Valid Premium,2748,23:30 01-01-26,
03-01-2026,WR,CR,BSR,5,KYN,JSWT,UBL,SW,BRCY,BRC,WR,IR,J/BRCY/PRE/20.20,L,IS,JSWT,JSWT,BOXN,,,N,58,0,1,58.0+1.0,SC,27594,WAG7,MU,N,05:48,,Y,ETYD200925100759,N,P,Invalid Premium,3512.75,,,,,,5,,,,KYN,BPAG,DLI,NR,MBPP,BB,CR,IR,BHARAT-1,E,LPG,,,BTPG,,,N,0,34,1,34.0+1.0,NR,60129,WAG12B,SU,D,10:40,,,BSL 160222165911,Y,C,Valid CC,0,,LWIS
03-01-2026,WR,CR,BSR,,,,,SW,,,WR,,,,,,,,,,,,,,,SC,28377,WAG7,MU,N,,,,,N,,,,,,,,,6,,,,KYN,AFAS,BCT,WR,JNPT,BB,CR,IR,RK-TP-44-,L,CONT,ADIL,ADIL,BLC,,,N,45,0,0,45.0+0.0,NR,43522,WAG9HC,SU,S,11:01,,Y,SMYD120123201734,Y,C,Valid CC,601.61,,
03-01-2026,WR,CR,BSR,6,KYN,JNPT,BB,CR,AFAS,BCT,WR,ADIL,AD-7-=AD 175,L,CONT,ADIL,ADIL,BLC,,,N,40,0,1,40.0+1.0,WC,51016,EF9K,SU,S,08:13,,Y,SMYD261024191142,Y,C,Valid CC,1238.12,23:50 31-12-25,,,,,7,SJN,WDFC,DFCR,KYN,MGG,RTM,WR,POY,PGT,SR,ADIL,POY+VNJ,L,DOC,PFLD,PFLD,BCN,"PGT(POY), SA(VNJ)",21+21,N,42,0,1,42.0+1.0,WR,24679,WAG7,SU,D,11:10,,Y,TPGY190925084010,N,P,Invalid Premium,2413.16,23:50 31-12-25,
03-01-2026,WR,CR,BSR,7,KYN,JNPT,BB,CR,CGMV,BRC,WR,CONR,R-82-H-=793,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,WR,41669,WAG9HC,SU,D,08:24,,Y,TICD171125142333,Y,C,Valid CC,1425.25,21:10 02-01-26,,SJN,WDFC,DFCR,8,SAH,WDFC,DFCR,KYN,CGMV,BRC,WR,JNPT,BB,CR,CONR,JS-14-,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,CR,70478,WDG4D,SU,N,11:35,,Y,ICDG301025065558,N,C,Valid CC,654.7,21:10 02-01-26,
03-01-2026,WR,CR,BSR,8,KYN,JNPT,BB,CR,PALB,NGP,CR,APSE,PALB-AD/=08,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,CR,42501,WAG9HC,MU,N,08:45,,Y,PALB160425123839,Y,C,Valid CC,1302.16,05:35 02-01-26,,SAH,WDFC,DFCR,9,,,,KYN,CGPT,RTM,WR,JNPT,BB,CR,APSE,ASHOKAP,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,SC,31232,WAG9,MU,N,12:03,,Y,GMC 291024153648,Y,C,Valid CC,1191.43,05:35 02-01-26,
