MA4 TRAINWISE INTERCHANGE
[  Zone: WR,  DateFrom: 05-06-2025,  DateTo: 05-06-2025,  Gauge: BG,;  TakenOver: 166=177+0;  HandedOver: 160=172+0;  HandedOverCc8Cont: 120;  HandedOverCc6Cont: 10;  TakenOverCc8Cont: 119;  TakenOverCc6Cont: 7 ]
"DATE","ZONE FROM","ZONE TO","IC STTN","TAKEN OVER SR.NO.","TAKEN OVER DRTN","TAKEN OVER STTN FROM","TAKEN OVER DVSN FROM","TAKEN OVER ZONE FROM","TAKEN OVER STTN TO","TAKEN OVER DVSN TO","TAKEN OVER ZONE TO","TAKEN OVER OWNR","TAKEN OVER LOAD NAME","TAKEN OVER L/E","TAKEN OVER CMDT","TAKEN OVER CNSR","TAKEN OVER CNSG","TAKEN OVER TYPE","TAKEN OVER MULTIDSTN DVSN(DSTN)","TAKEN OVER MULTIDSTN UNITS","TAKEN OVER DS","TAKEN OVER 8W(L)","TAKEN OVER 8W(E)","TAKEN OVER 8W(BV)","TAKEN OVER TOTL(8W)","TAKEN OVER OWNG","TAKEN OVER LOCO","TAKEN OVER LOCO TYPE","TAKEN OVER LOCO UNTS","TAKEN OVER LOCO HRP","TAKEN OVER TIME","TAKEN OVER CC+6","TAKEN OVER CC+8","TAKEN OVER RAKEID","TAKEN OVER TWIN PIPE","TAKEN OVER CTGR","TAKEN OVER EXAM TYPE","TAKEN OVER TONNAGE(in Tonnes)","TAKEN OVER LDNG DATE","HANDED  OVER INTERCHANGE POINT STATION","HANDED  OVER INTERCHANGE POINT DIVISION","HANDED  OVER INTERCHANGE POINT ZONE","HANDED OVER SR.NO.","TAKEN OVER INTERCHANGE  POINT STATION","TAKEN OVER INTERCHANGE  POINT DIVISION","TAKEN OVER INTERCHANGE  POINT ZONE","HANDED OVER DRTN","HANDED OVER STTN FROM","HANDED OVER DVSN FROM","HANDED OVER ZONE FROM","HANDED OVER STTN TO","HANDED OVER DVSN TO","HANDED OVER ZONE TO","HANDED OVER OWNR","HANDED OVER LOAD NAME","HANDED OVER L/E","HANDED OVER CMDT","HANDED OVER CNSR","HANDED OVER CNSG","HANDED OVER TYPE","HANDED OVER MULTIDSTN DVSN(DSTN)","HANDED OVER MULTIDSTN UNITS","HANDED OVER DS","HANDED OVER 8W(L)","HANDED OVER 8W(E)","HANDED OVER 8W(BV)","HANDED OVER TOTL(8W)","HANDED OVER OWNG","HANDED OVER LOCO","HANDED OVER LOCO TYPE","HANDED OVER LOCO UNTS","HANDED OVER LOCO HRP","HANDED OVER TIME","HANDED OVER CC+6","HANDED OVER CC+8","HANDED OVER RAKEID","HANDED OVER TWIN PIPE","HANDED OVER CTGR","HANDED OVER EXAM TYPE","HANDED OVER TONNAGE(in Tonnes)","HANDED OVER LDNG DATE",
"05-06-2025","WR","CR","BSR","1","KYN","JNPT","BB","CR","AFAS","BCT","WR","ADIL","AD---77-ADIL=18","L","CONT","ADIL","ADIL","BLC","","","N","45","0","0","45.0+0.0","NC","41419","WAG9H","SU","S","00:31","","Y","SMYD080225085309","Y","C","Valid CC","1661.15","21:30 03-06-25","","","","1","","","","KYN","UJH","IZN","NE","CBF","SA","SR","ADIL","CBF","L","W","JIPV","JIPV","BCN","","","N","21","21","1","42.0+1.0","NR","41526","WAG9HC","SU","S","01:02","Y","","HD  220425234929","N","P","Invalid Premium","1338.8","21:30 03-06-25",
"05-06-2025","WR","CR","BSR","2","KYN","JNPT","BB","CR","CCTA","BRC","WR","CONR","JS15-=715","L","CONT","CONR","CONR","BLC","","","N","43","0","1","43.0+1.0","WR","43992","WAG9HC","SU","S","01:20","","Y","CTKR230425203129","Y","C","Valid CC","1055.55","07:15 04-06-25","","","","2","","","","KYN","SANK","JHS","NC","ED","SA","SR","CONR","ED","L","DOC","APSK","APSK","BCN","","","N","42","0","1","42.0+1.0","EC","32067","WAG9H","SU","S","01:43","","Y","ED  230225230944","N","P","Invalid Premium","2684.6","07:15 04-06-25",
"05-06-2025","WR","CR","BSR","3","KYN","BPTG","BPT","BPT","MGN","RTM","WR","IR","BPTG/MGN","L","IMFT","OPIL","OPIL","BCN","","","N","21","22","1","43.0+1.0","NR","31728","WAG9HC","SU","S","01:38","","Y","ERM 270425173439","N","P","Premium Due","1344","12:00 03-06-25","SAH","WDFC","DFCR","3","","","","KYN","AFAS","BCT","WR","JNPT","BB","CR","IR","AD-7-","L","CONT","ADIL","ADIL","BLC","","","N","45","0","1","45.0+1.0","WC","51021","EF9K","SU","S","02:21","","Y","SMYD261024191142","Y","C","Valid CC","1209.7","12:00 03-06-25",
"05-06-2025","WR","CR","BSR","4","KYN","JNPT","BB","CR","AFAS","BCT","WR","APSE","ADANI-115-AD20","L","CONT","ADIL","ADIL","BLC","","","N","45","0","1","45.0+1.0","WR","41696","WAG9HC","SU","S","01:53","","Y","SMYD230824200638","Y","C","Valid CC","1336.49","05:40 04-06-25","","","","4","","","","KYN","AFAS","BCT","WR","JNPT","BB","CR","APSE","PALB-AD/108","L","CONT","ADIL","ADIL","BLC","","","N","45","0","0","45.0+0.0","CR","60347","WAG12B","SU","D","02:39","","Y","PALB160425123839","Y","C","Valid CC","696.73","05:40 04-06-25",
"05-06-2025","WR","CR","BSR","5","KYN","JNPT","BB","CR","AFAS","BCT","WR","CONR","NTSJ-01=ADIL=14","L","CONT","ADIL","ADIL","BLC","","","N","45","0","0","45.0+0.0","NC","32991","WAG9HC","SU","S","03:25","","Y","UMB 060522023217","Y","C","Valid CC","1724.07","14:10 03-06-25","","","","5","","","","KYN","ADD","BRC","WR","NDV","SBC","SW","CONR","JKTI-101-","L","AUTO","JKTP","JKTP","BCACBM","","","N","27","0","1","27.0+1.0","WR","33773","WAG9HC","SU","D","04:16","","Y","SMYD280425223025","Y","C","Valid CC","290.52","14:10 03-06-25",
"05-06-2025","WR","CR","BSR","6","KYN","JSWT","UBL","SW","KRIR","ADI","WR","IR","BADRADRI=30","L","IS","JVML","JVML","BOXNHL","","","N","59","0","1","59.0+1.0","SC","28397","WAG7","MU","N","04:31","","Y","RDM 100525114924","Y","C","Valid CC","3305.36","22:00 01-06-25","","","","6","","","","KYN","CGPT","RTM","WR","JNPT","BB","CR","IR","ICDG=735","L","CONT","CONR","CONR","BLC","","","N","44","1","1","45.0+1.0","NR","60167","WAG12B","SU","D","05:14","","Y","VGLJ090524132702","Y","C","Valid CC","1213.45","22:00 01-06-25",
"05-06-2025","WR","CR","BSR","","","","","SW","","","WR","","","","","","","","","","","","","","","SC","28403","WAG7","MU","N","","","","","Y","","","","","","","","7","SJN","WDFC","DFCR","KYN","CGPT","RTM","WR","JNPT","BB","CR","IR","ASHOKAP-R/","L","CONT","CONR","CONR","BLC","","","N","45","0","1","45.0+1.0","NC","43738","WAG9HC","SU","S","05:59","","Y","PCPK200325150245","Y","C","Valid CC","1412.97","22:00 01-06-25",
"05-06-2025","WR","CR","BSR","7","KYN","JNPT","BB","CR","AFAS","BCT","WR","CONR","PALB-ADIL25","L","CONT","ADIL","ADIL","BLC","","","N","45","0","1","45.0+1.0","WR","41752","WAG9HC","SU","S","05:58","","Y","PALB221024184900","Y","C","Valid CC","2168.99","19:30 04-06-25","","","","8","SAH","WDFC","DFCR","KYN","CPFS","WDFC","DFCR","JNPT","BB","CR","CONR","MS-4-/UTCK","E","","","","BLC","","","N","0","45","1","45.0+1.0","NC","43159","WAG9HC","SU","S","07:05","","","ICDD260624014905","Y","C","Valid CC","0","19:30 04-06-25",
"05-06-2025","WR","CR","BSR","8","KYN","CCH","PUNE","CR","FN","DLI","NR","IR","CCH/FN/NMG","L","AUTO","JKTP","JKTP","NMG","","","N","25","0","0","25.0+0.0","CR","60339","WAG12B","SU","D","05:59","","Y","MDU 210724163752","N","P","Valid Premium","168","07:45 04-06-25","SJN","WDFC","DFCR","9","","","","KYN","MKIG","BRC","WR","LONI","PUNE","CR","IR","MKIG/LONI","L","IS","DPWR","DPWR","SHRN","","","N","43","0","1","43.0+1.0","SC","31492","WAG9HC","SU","N","07:43","","Y","FPY 270525093944","N","P","Premium Due","2718.1","07:45 04-06-25",
"05-06-2025","WR","CR","BSR","9","KYN","JNPT","BB","CR","BNGD","BCT","WR","CONR","CS=3/R173H=723","L","CONT","CONR","CONR","BLC","","","N","45","0","0","45.0+0.0","WR","43521","WAG9HC","SU","S","07:32","","Y","ICDW130525011348","N","C","Valid CC","2262.97","19:15 04-06-25","","","","10","","","","KYN","BNGD","BCT","WR","JNPT","BB","CR","CONR","R-107H--","L","CONT","CONR","CONR","BLC","","","N","40","0","0","40.0+0.0","WR","41769","WAG9HC","SU","S","09:45","","Y","TICD090525071559","Y","C","Valid CC","1947.41","19:15 04-06-25",
